region,country,state,city,distinct_postal_codes,total_orders,distinct_customers,total_order_lines,total_sales,total_quantity,total_profit,average_complete_order_value,comparable_profit_margin_percentage,average_shipping_days,minimum_shipping_days,maximum_shipping_days,unknown_sales_lines,unknown_quantity_lines,unknown_profit_lines,orders_with_unknown_sales,orders_with_unknown_profit,complete_loss_making_orders
Central,Canada,Manitoba,Winnipeg,2,4,2,12,359.688000,40,160.204500,99.1626666667,35.3172228796,3.0000,2,4,1,0,1,1,1,1
Central,"United States",Illinois,"Arlington Heights",1,1,1,1,14.112000,6,1.234800,14.1120000000,8.7500000000,4.0000,4,4,0,0,0,0,0,0
Central,"United States",Illinois,Aurora,1,20,20,34,7495.248000,276,-1897.873200,366.5482105263,-41.7774826633,3.6500,0,7,1,3,1,1,1,14
Central,"United States",Illinois,Bloomington,1,6,6,8,950.820000,27,-433.604300,145.8504000000,-54.5923357084,4.5000,3,6,1,0,1,1,1,2
Central,"United States",Illinois,Bolingbrook,1,3,3,6,212.612100,23,-4.661000,70.8707000000,-2.1922552856,4.0000,0,6,0,0,0,0,0,2
Central,"United States",Illinois,"Buffalo Grove",1,2,2,2,831.399000,10,-89.647800,415.6995000000,-10.7827649540,6.0000,6,6,0,0,0,0,0,1
Central,"United States",Illinois,"Carol Stream",1,1,1,5,1305.810000,18,-39.868300,1305.8100000000,-3.0531470888,4.0000,4,4,0,0,0,0,0,1
Central,"United States",Illinois,Champaign,1,1,1,1,151.960000,5,-182.352000,151.9600000000,-120.0000000000,5.0000,5,5,0,0,0,0,0,1
Central,"United States",Illinois,Chicago,3,171,155,314,46065.319000,1740,-9254.913000,283.2315034014,-22.0664280487,4.2632,0,7,24,5,23,24,20,84
Central,"United States",Illinois,Danville,1,1,1,1,43.372000,7,-69.395200,43.3720000000,-160.0000000000,5.0000,5,5,0,0,0,0,0,1
Central,"United States",Illinois,Decatur,1,9,9,22,3036.777000,77,-307.378800,369.9121250000,-12.2188178566,4.1111,2,6,1,0,1,1,1,5
Central,"United States",Illinois,"Des Plaines",1,2,2,6,1493.212000,24,-236.767400,746.6060000000,-15.8562481416,3.5000,3,4,0,0,0,0,0,1
Central,"United States",Illinois,Elmhurst,1,2,2,4,891.628000,14,-212.132100,445.8140000000,-23.7915475961,4.5000,4,5,0,0,0,0,0,2
Central,"United States",Illinois,Evanston,1,3,3,4,1753.799000,11,411.883800,584.5996666667,23.4852340548,3.6667,2,5,0,0,0,0,0,1
Central,"United States",Illinois,Frankfort,1,2,2,2,97.632000,10,-26.056000,48.8160000000,-26.6879711570,4.5000,3,6,0,0,0,0,0,1
Central,"United States",Illinois,Freeport,1,2,2,4,152.508000,9,-127.449800,45.2480000000,8.7500000000,4.0000,3,5,1,1,0,1,0,1
Central,"United States",Illinois,Glenview,1,1,1,1,158.376000,3,13.857900,158.3760000000,8.7500000000,4.0000,4,4,0,0,0,0,0,0
Central,"United States",Illinois,"Highland Park",1,3,3,7,2035.096000,28,-169.940600,678.3653333333,-8.3504955049,5.0000,4,7,0,0,0,0,0,2
Central,"United States",Illinois,Naperville,1,5,5,8,1285.495000,33,-141.045400,321.3737500000,-7.6245068601,3.8000,2,5,1,0,1,1,1,2
Central,"United States",Illinois,Normal,1,1,1,1,366.744000,4,-110.023200,366.7440000000,-30.0000000000,4.0000,4,4,0,0,0,0,0,1
Central,"United States",Illinois,"Oak Park",1,1,1,1,10.192000,7,1.019200,10.1920000000,10.0000000000,4.0000,4,4,0,0,0,0,0,0
Central,"United States",Illinois,"Orland Park",1,1,1,1,339.960000,5,67.992000,339.9600000000,20.0000000000,5.0000,5,5,0,0,0,0,0,0
Central,"United States",Illinois,Oswego,1,1,1,3,321.978000,13,-536.127600,321.9780000000,-166.5106311611,7.0000,7,7,0,0,0,0,0,1
Central,"United States",Illinois,Palatine,1,1,1,1,NULL,7,23.262400,NULL,NULL,1.0000,1,1,1,0,0,1,0,0
Central,"United States",Illinois,"Park Ridge",1,3,3,3,685.000000,17,-238.450000,228.3333333333,-34.8102189781,6.3333,5,7,0,0,0,0,0,1
Central,"United States",Illinois,Peoria,1,4,4,7,121.992000,20,-72.758700,3.9800000000,-165.0000000000,2.7500,1,4,3,1,0,3,0,4
Central,"United States",Illinois,Quincy,1,6,6,9,330.284000,40,47.147100,55.0473333333,22.3592853548,4.0000,3,7,0,0,2,0,2,1
Central,"United States",Illinois,Rockford,1,8,8,11,3152.388000,57,-1293.504600,425.2165714286,-87.3745268069,3.3750,2,4,1,1,1,1,1,4
Central,"United States",Illinois,Romeoville,1,1,1,1,NULL,2,NULL,NULL,NULL,4.0000,4,4,1,0,1,1,1,0
Central,"United States",Illinois,"Saint Charles",1,3,3,6,757.836000,20,221.444600,8.7360000000,NULL,3.6667,2,5,2,0,1,2,1,1
Central,"United States",Illinois,Skokie,1,5,5,11,568.832000,44,-53.882800,113.7664000000,-42.2882782833,3.4000,0,5,0,0,1,0,1,3
Central,"United States",Illinois,"Tinley Park",1,1,1,1,22.288000,7,-8.915200,22.2880000000,-40.0000000000,1.0000,1,1,0,0,0,0,0,1
Central,"United States",Illinois,Wheeling,1,2,2,3,615.606000,9,-308.509800,615.6060000000,-50.1148136958,5.5000,5,6,1,0,1,1,1,1
Central,"United States",Illinois,Woodstock,1,3,3,3,857.250000,15,-24.885900,285.7500000000,-2.9029921260,4.3333,4,5,0,0,0,0,0,2
Central,"United States",Indiana,Bloomington,1,4,4,7,603.800000,31,182.773300,150.9500000000,30.2705034780,4.7500,4,5,0,0,0,0,0,0
Central,"United States",Indiana,Columbus,1,16,16,34,7960.400000,588,2372.846500,497.5250000000,31.6447067093,4.4375,1,6,0,0,2,0,2,0
Central,"United States",Indiana,Elkhart,1,1,1,2,171.430000,7,16.672100,171.4300000000,9.7253106224,2.0000,2,2,0,0,0,0,0,0
Central,"United States",Indiana,Greenwood,1,2,2,4,1497.110000,19,469.703600,1424.9000000000,25.0000000000,1.0000,0,2,1,0,1,1,1,0
Central,"United States",Indiana,Indianapolis,1,12,12,23,6936.620000,91,2741.653800,419.4270000000,30.1681389133,3.9167,2,7,2,1,0,2,0,0
Central,"United States",Indiana,"La Porte",1,3,3,8,1021.340000,33,224.513000,340.4466666667,21.9821998551,3.0000,1,5,0,0,0,0,0,0
Central,"United States",Indiana,Lafayette,1,7,7,12,2130.500000,43,8976.097300,215.6183333333,16.5190189455,4.8571,4,7,1,0,0,1,0,0
Central,"United States",Indiana,Lawrence,1,6,6,11,1545.130000,52,532.743000,257.5216666667,34.4788464401,3.3333,0,6,0,0,0,0,0,0
Central,"United States",Indiana,Mishawaka,1,2,2,2,128.400000,11,96.592000,128.4000000000,50.0000000000,5.0000,4,6,1,0,0,1,0,0
Central,"United States",Indiana,"New Albany",1,1,1,4,209.550000,15,73.352900,209.5500000000,35.0049630160,4.0000,4,4,0,0,0,0,0,0
Central,"United States",Indiana,"New Castle",1,1,1,2,84.610000,9,23.083900,84.6100000000,27.2827088997,4.0000,4,4,0,0,0,0,0,0
Central,"United States",Indiana,Noblesville,1,2,2,4,3091.180000,15,-360.574200,1545.5900000000,-11.6646135133,5.5000,5,6,0,0,0,0,0,1
Central,"United States",Indiana,Portage,1,1,1,1,16.280000,2,6.512000,16.2800000000,40.0000000000,0.0000,0,0,0,0,0,0,0,0
Central,"United States",Indiana,Richmond,1,14,13,29,6235.150000,107,-1896.785000,445.3678571429,-30.4208399156,4.9286,2,6,0,0,0,0,0,1
Central,"United States",Indiana,"South Bend",1,1,1,6,1238.330000,25,279.551200,1238.3300000000,22.5748548448,5.0000,5,5,0,0,0,0,0,0
Central,"United States",Iowa,Burlington,1,2,2,3,57.430000,9,26.671400,28.7150000000,46.4415810552,4.5000,3,6,0,0,0,0,0,0
Central,"United States",Iowa,"Cedar Rapids",1,1,1,1,278.400000,3,NULL,278.4000000000,NULL,1.0000,1,1,0,0,1,0,1,0
Central,"United States",Iowa,"Des Moines",1,5,5,12,2008.840000,43,259.860900,401.7680000000,12.9358684614,3.8000,0,6,0,0,0,0,0,0
Central,"United States",Iowa,Dubuque,1,2,2,3,1687.300000,18,477.674400,843.6500000000,28.3099863688,4.0000,4,4,0,0,0,0,0,0
Central,"United States",Iowa,"Iowa City",1,1,1,1,9.990000,1,4.495500,9.9900000000,45.0000000000,5.0000,5,5,0,0,0,0,0,0
Central,"United States",Iowa,Marion,1,3,3,6,358.360000,22,109.846100,119.4533333333,45.2936252680,4.0000,2,6,0,0,1,0,1,0
Central,"United States",Iowa,Urbandale,1,2,2,3,121.880000,12,57.718000,45.9200000000,47.0000000000,6.0000,5,7,1,0,0,1,0,0
Central,"United States",Iowa,Waterloo,1,1,1,1,30.320000,4,11.824800,30.3200000000,39.0000000000,6.0000,6,6,0,0,0,0,0,0
Central,"United States",Kansas,"Garden City",1,3,3,5,312.380000,8,90.625900,104.1266666667,29.0114283885,2.3333,0,4,0,0,0,0,0,0
Central,"United States",Kansas,Manhattan,1,1,1,1,273.960000,2,10.958400,273.9600000000,4.0000000000,4.0000,4,4,0,0,0,0,0,0
Central,"United States",Kansas,Olathe,1,2,2,5,895.790000,15,207.410800,447.8950000000,23.1539534936,6.0000,5,7,0,0,0,0,0,0
Central,"United States",Kansas,"Overland Park",1,3,3,6,579.130000,17,178.976400,280.4450000000,26.7252500401,3.6667,3,4,1,1,2,1,2,0
Central,"United States",Kansas,Wichita,1,5,5,7,545.370000,26,323.926600,136.3425000000,34.2475016961,3.4000,2,4,1,0,0,1,0,0
Central,"United States",Michigan,"Ann Arbor",1,2,2,5,889.273000,23,228.915800,444.6365000000,25.7419037798,2.0000,1,3,0,0,0,0,0,0
Central,"United States",Michigan,Canton,1,2,2,3,818.130000,13,149.277600,409.0650000000,18.2461955924,2.5000,2,3,0,0,0,0,0,0
Central,"United States",Michigan,Dearborn,1,2,2,5,1603.310000,23,467.386400,801.6550000000,29.1513431588,5.5000,4,7,0,0,0,0,0,0
Central,"United States",Michigan,"Dearborn Heights",1,2,2,6,924.890000,19,140.890500,NULL,NULL,4.5000,2,7,2,0,0,2,0,0
Central,"United States",Michigan,Detroit,3,53,50,115,34209.852000,429,10817.354500,674.5804489796,27.2433291195,3.9057,0,7,4,3,6,4,6,1
Central,"United States",Michigan,"Grand Rapids",1,6,6,7,526.130000,31,233.922700,87.6883333333,44.4610077357,5.5000,4,6,0,0,0,0,0,0
Central,"United States",Michigan,Holland,1,2,2,3,27.940000,11,66.658800,7.5000000000,48.0000000000,5.0000,4,6,1,0,0,1,0,0
Central,"United States",Michigan,Jackson,1,14,14,38,15420.036000,132,5525.199200,1101.4311428571,35.8312989671,4.2857,2,6,0,0,0,0,0,0
Central,"United States",Michigan,Lansing,1,3,3,8,1610.286000,25,263.956200,536.7620000000,48.0000000000,1.3333,0,2,0,0,3,0,2,0
Central,"United States",Michigan,"Lincoln Park",1,2,2,3,220.310000,11,68.369100,220.3100000000,17.5336117289,4.5000,3,6,1,0,0,1,0,0
Central,"United States",Michigan,Midland,1,5,5,12,5278.672000,39,2293.682800,1024.1605000000,48.6712336592,4.2000,3,6,1,0,0,1,0,0
Central,"United States",Michigan,"Mount Pleasant",1,1,1,1,17.140000,2,6.170400,17.1400000000,36.0000000000,0.0000,0,0,0,0,0,0,0,0
Central,"United States",Michigan,"Oak Park",1,1,1,2,580.860000,163,151.023600,580.8600000000,26.0000000000,4.0000,4,4,0,0,0,0,0,0
Central,"United States",Michigan,"Rochester Hills",1,1,1,1,132.520000,4,54.333200,132.5200000000,41.0000000000,5.0000,5,5,0,0,0,0,0,0
Central,"United States",Michigan,Roseville,1,4,4,6,638.330000,21,268.914900,159.5825000000,42.1278805633,3.5000,0,6,0,0,0,0,0,0
Central,"United States",Michigan,"Royal Oak",1,2,2,2,12.960000,4,16.963200,12.9600000000,48.0000000000,4.0000,4,4,1,0,0,1,0,0
Central,"United States",Michigan,Saginaw,1,2,2,6,395.860000,24,77.180100,197.9300000000,19.4968170565,6.0000,6,6,0,0,0,0,0,0
Central,"United States",Michigan,"Sterling Heights",1,3,3,3,110.040000,11,33.067600,36.6800000000,30.0505270811,4.0000,2,5,0,0,0,0,0,0
Central,"United States",Michigan,Taylor,1,3,3,3,353.700000,7,44.868200,117.9000000000,12.6853830930,4.3333,3,5,0,0,0,0,0,0
Central,"United States",Michigan,Trenton,1,4,4,13,1765.195000,54,625.396800,441.2987500000,36.5485567740,3.5000,0,6,0,0,1,0,1,0
Central,"United States",Michigan,Westland,1,3,3,13,2057.976000,46,389.599500,685.9920000000,18.9311974484,5.0000,4,6,0,0,0,0,0,0
Central,"United States",Minnesota,"Apple Valley",1,2,2,2,137.940000,163,8.970600,68.9700000000,6.5032622880,6.0000,6,6,0,0,0,0,0,0
Central,"United States",Minnesota,"Coon Rapids",1,1,1,2,503.130000,7,136.453200,503.1300000000,27.1208633951,5.0000,5,5,0,0,0,0,0,0
Central,"United States",Minnesota,"Cottage Grove",1,1,1,2,144.360000,6,54.796800,144.3600000000,37.9584372402,4.0000,4,4,0,0,0,0,0,0
Central,"United States",Minnesota,Eagan,1,3,3,8,214.280000,22,-139.838200,71.4266666667,-65.2595669218,4.6667,2,6,0,0,0,0,0,1
Central,"United States",Minnesota,Lakeville,1,5,5,15,4260.950000,84,1307.632100,852.1900000000,31.8540755700,5.6000,2,7,0,0,1,0,1,0
Central,"United States",Minnesota,"Maple Grove",1,2,2,4,882.870000,13,385.010100,441.4350000000,43.6089231710,3.5000,3,4,0,0,0,0,0,0
Central,"United States",Minnesota,Minneapolis,1,13,13,23,16870.540000,78,6711.859600,1297.7338461538,41.3105933173,4.0000,2,7,0,1,2,0,2,0
Central,"United States",Minnesota,Moorhead,1,2,2,2,543.860000,9,101.410600,271.9300000000,18.6464531313,4.0000,4,4,0,0,0,0,0,0
Central,"United States",Minnesota,Rochester,1,8,8,17,1520.610000,45,502.889200,227.1416666667,23.7304472246,4.0000,0,7,2,1,1,2,1,0
Central,"United States",Minnesota,Roseville,1,2,2,6,2215.520000,20,667.527200,1107.7600000000,30.1295948581,4.0000,4,4,0,0,0,0,0,0
Central,"United States",Minnesota,"Saint Cloud",1,1,1,3,1331.820000,13,469.614000,1331.8200000000,35.2610713159,4.0000,4,4,0,0,0,0,0,0
Central,"United States",Minnesota,"Saint Paul",1,2,2,2,192.830000,11,24.884200,96.4150000000,12.9047347404,4.5000,4,5,0,0,0,0,0,0
Central,"United States",Minnesota,Woodbury,1,2,2,3,607.650000,11,196.096200,303.8250000000,32.2712416687,5.5000,5,6,0,0,0,0,0,0
Central,"United States",Missouri,Columbia,1,3,3,10,2990.040000,38,1106.771900,996.6800000000,37.0152874209,4.0000,4,4,0,0,0,0,0,0
