order_year,order_month,order_year_month,total_orders,distinct_customers,total_order_lines,total_product_references,total_sales,total_quantity,total_profit,average_complete_order_value,average_complete_order_profit,profit_margin_percentage,unknown_sales_lines,unknown_quantity_lines,unknown_profit_lines,orders_with_unknown_sales,orders_with_unknown_profit
2023,1,2023-01,33,33,84,84,13647.267000,303,2492.704700,322.0684642857,88.3243793103,18.2652299541,6,2,4,5,4
2023,2,2023-02,28,27,46,46,4497.668000,159,897.169100,169.7626153846,38.5997695652,19.9474283117,2,0,5,2,5
2023,3,2023-03,72,70,159,159,56376.326000,1060,534.693500,794.6575454545,41.1142742424,0.9484362284,6,2,6,6,6
2023,4,2023-04,66,64,135,134,27692.195000,1066,3248.974600,413.3843387097,47.4363854839,11.7324560224,4,4,5,4,4
2023,5,2023-05,72,68,132,132,22943.947000,887,2157.614500,314.2443043478,21.7052820896,9.4038506104,4,2,5,3,5
2023,6,2023-06,67,64,136,136,33238.789600,512,2758.485800,523.5909770492,47.0747261538,8.2989959418,6,3,2,6,2
2023,7,2023-07,65,65,143,143,33731.439000,945,-4554.106400,530.2131551724,-76.4957049180,-13.5010735830,8,0,4,7,4
2023,8,2023-08,75,73,158,158,28349.738500,1641,2222.029500,350.5206267606,18.2630716418,7.8379188577,4,3,8,4,8
2023,9,2023-09,134,121,273,273,74538.712800,1543,7296.078200,539.9346724138,49.3781925620,9.7883072110,19,10,15,18,13
2023,10,2023-10,82,76,168,168,29977.159000,1385,2241.617000,360.9298051948,26.6239346667,7.4777499762,6,3,7,5,7
2023,11,2023-11,152,140,320,319,73760.070700,2795,5526.995600,439.0496165468,31.1461316547,7.4932081105,14,6,14,13,13
2023,12,2023-12,150,141,297,295,70472.575500,2008,3706.127300,493.2752259259,26.1049802920,5.2589638930,15,6,15,15,13
2024,1,2024-01,31,29,64,64,18447.611600,257,-3096.019000,614.9203866667,-107.3275071429,-16.7827633578,1,1,3,1,3
2024,2,2024-02,36,36,64,64,9953.999000,239,2737.037000,282.3600312500,78.6574833333,27.4968582979,5,0,6,4,6
2024,3,2024-03,81,78,141,141,36231.293000,519,8145.508400,361.2361428571,114.9055720000,22.4819699369,4,4,6,4,6
2024,4,2024-04,72,69,160,160,30537.302500,936,4030.086700,358.0610390625,64.5583796875,13.1972583368,8,1,9,8,8
2024,5,2024-05,75,70,150,150,29864.806500,1606,4715.374400,405.4727500000,71.5700396825,15.7890673090,5,5,14,5,12
2024,6,2024-06,68,68,138,138,24337.056000,469,2455.458300,361.6622187500,16.7521444444,10.0893809835,4,5,5,4,5
2024,7,2024-07,66,64,140,139,27410.143000,1969,2408.199100,395.5949836066,36.7881645161,8.7857954627,5,1,4,5,4
2024,8,2024-08,69,64,162,162,34308.153300,1388,4487.317400,458.7862269841,46.8744890625,13.0794489600,6,2,5,6,5
2024,9,2024-09,142,127,295,295,62397.384000,2230,-8193.546400,460.4315378788,-63.1257245902,-13.1312338351,10,10,21,10,20
2024,10,2024-10,88,80,167,167,30881.965500,1645,2126.610800,357.3058734940,18.9397012658,6.8862546977,5,4,9,5,9
2024,11,2024-11,158,146,324,324,74380.588500,2391,6009.649100,489.3095239726,22.7576496503,8.0795933740,13,7,16,12,15
2024,12,2024-12,167,143,325,325,70584.603200,2070,7098.554600,390.2079543624,59.6861567742,10.0568031528,19,10,15,18,12
2025,1,2025-01,50,48,95,95,18654.799000,539,-2050.283200,395.7042340426,-35.2879772727,-10.9906475004,3,1,6,3,6
2025,2,2025-02,45,42,83,83,22823.641000,300,2204.595500,492.4340243902,49.5293931818,9.6592629546,4,2,1,4,1
2025,3,2025-03,88,82,166,165,46780.597000,1118,2801.194400,580.7968589744,27.5596769231,5.9879406840,10,7,10,10,10
2025,4,2025-04,90,83,171,170,37210.702600,1251,425.557200,435.6863364706,3.3628476190,1.1436419370,5,5,7,5,6
2025,5,2025-05,109,97,229,229,47819.310000,1232,5859.449700,465.8439670330,51.5406294737,12.2533129399,18,10,15,18,14
2025,6,2025-06,100,93,205,205,38987.086000,923,-2262.556300,352.0006777778,-18.0692114583,-5.8033480625,11,1,4,10,4
2025,7,2025-07,97,89,205,205,39963.250500,1162,4791.864700,426.7809731183,63.2069348315,11.9906780356,4,2,8,4,8
2025,8,2025-08,91,87,179,179,26643.700300,2120,2317.114100,309.3600182927,15.2836952381,8.6966677823,10,2,7,9,7
2025,9,2025-09,195,177,366,365,71078.812900,3212,8518.438800,365.1828355191,40.0344427778,11.9844978446,12,4,15,12,15
2025,10,2025-10,107,96,199,199,40148.681000,1473,-9878.080200,376.6038118812,-87.0277707071,-24.6037477545,6,2,8,6,8
2025,11,2025-11,183,165,370,370,74963.782800,3435,-4925.544700,392.5085696970,-30.8604686391,-6.5705658333,18,4,15,18,14
2025,12,2025-12,185,163,366,365,91754.381000,2095,9699.798800,514.8442710843,65.0136358491,10.5714830118,19,4,26,19,26
2026,1,2026-01,71,69,161,161,38710.724000,837,7541.633500,572.5486461538,121.5588147541,19.4820264793,6,4,11,6,10
2026,2,2026-02,53,53,107,107,19550.407400,433,1263.264400,341.1262280000,29.8352857143,6.4615758340,4,3,5,3,4
2026,3,2026-03,121,118,245,245,41462.403400,990,14190.587300,368.9490326923,127.4349216216,34.2251923100,19,1,13,17,10
2026,4,2026-04,117,110,204,204,35235.882500,1832,11.834300,309.8644485981,0.4899203704,0.0335859333,11,2,9,10,9
2026,5,2026-05,121,115,247,247,44121.314200,1921,5561.729100,369.8135495652,53.8841495238,12.6055381641,7,3,16,6,16
2026,6,2026-06,134,119,246,246,49443.677700,932,7930.048700,365.7294808333,43.9704580645,16.0385494544,15,1,10,14,10
2026,7,2026-07,112,103,230,230,43102.774000,918,6573.480900,415.0681030928,72.3670354167,15.2507142580,16,5,18,15,16
2026,8,2026-08,114,105,223,223,58464.720000,1596,7579.931500,460.3593980583,76.3851130841,12.9649667355,11,4,7,11,7
2026,9,2026-09,231,199,465,465,83694.365500,3006,10123.778300,371.6274219512,43.0337402913,12.0961288607,26,7,26,26,25
2026,10,2026-10,152,138,309,309,82341.565200,2089,11678.365400,568.7729217391,74.5266595588,14.1828314432,15,8,17,14,16
2026,11,2026-11,262,217,460,459,104445.099800,1969,-4394.540100,407.2069452282,-20.5356500000,-4.2075119928,21,4,21,21,20
