product_key,product_id,product_name,category,sub_category,first_order_date,last_order_date,total_order_lines,total_orders,distinct_customers,total_sales,total_quantity,total_profit,average_line_discount,comparable_average_unit_sales,comparable_profit_margin_percentage,unknown_sales_lines,unknown_quantity_lines,unknown_profit_lines,loss_making_lines
1,FUR-BO-10000112,"Bush Birmingham Collection Bookcase  Dark Cherry",Furniture,Bookcases,2026-09-04,2026-09-04,1,1,1,825.174000,9,-117.882000,0.300000,91.6860000000,-14.2857142857,0,0,0,1
2,FUR-BO-10000330,"Sauder Camden County Barrister Bookcase  Planked Cherry Finish",Furniture,Bookcases,2023-11-28,2026-05-30,3,3,3,653.292000,6,24.196000,0.100000,108.8820000000,4.4444444444,1,1,0,2
3,FUR-BO-10000362,"Sauder Inglewood Library Bookcases",Furniture,Bookcases,2023-05-26,2025-06-04,5,5,5,1658.506000,14,75.231200,0.130000,165.8506000000,16.7567567568,2,0,1,1
4,FUR-BO-10000468,"O'Sullivan 2-Shelf Heavy-Duty Bookcases",Furniture,Bookcases,2023-08-08,2026-12-19,6,6,6,723.842000,21,-133.109200,0.183333,34.4686666667,-18.3892617450,0,0,0,3
5,FUR-BO-10000711,"Hon Metal Bookcases  Gray",Furniture,Bookcases,2023-06-14,2023-08-19,2,2,2,851.760000,12,57.493800,0.000000,70.9800000000,27.0000000000,0,0,1,0
6,FUR-BO-10000780,"O'Sullivan Plantations 2-Door Library in Landvery Oak",Furniture,Bookcases,2024-08-16,2026-11-24,5,5,5,2946.366800,22,-751.665200,0.332000,133.9257636364,-28.6370597243,0,0,1,4
7,FUR-BO-10001337,"O'Sullivan Living Dimensions 2-Shelf Bookcases",Furniture,Bookcases,2023-03-30,2026-06-10,10,10,10,2970.059000,28,-78.637000,0.110000,106.0735357143,-2.6476578411,0,0,0,7
8,FUR-BO-10001519,"O'Sullivan 3-Shelf Heavy-Duty Bookcases",Furniture,Bookcases,2024-04-16,2026-12-09,5,5,5,1031.985000,22,147.094200,0.170000,54.3150000000,18.6478873239,1,0,0,1
9,FUR-BO-10001567,"Bush Westfield Collection Bookcases  Dark Cherry Finish  Fully Assembled",Furniture,Bookcases,2025-10-10,2025-10-10,1,1,1,90.882000,3,-190.852200,0.700000,30.2940000000,-210.0000000000,0,0,0,1
10,FUR-BO-10001601,"Sauder Mission Library with Doors  Fruitwood Finish",Furniture,Bookcases,2023-11-09,2026-05-06,3,3,3,935.197200,10,-125.740800,0.263333,93.5197200000,-13.4453781513,0,0,0,2
11,FUR-BO-10001608,"Hon Metal Bookcases  Black",Furniture,Bookcases,2023-06-20,2026-01-13,5,5,5,1570.077600,30,-26.972400,0.244000,52.3359200000,-1.7179023508,0,0,0,2
12,FUR-BO-10001619,"O'Sullivan Cherrywood Estates Traditional Bookcase",Furniture,Bookcases,2025-11-24,2026-01-21,2,2,2,424.900000,6,27.193600,0.100000,70.8166666667,6.4000000000,0,0,0,0
