category,sub_category,total_order_lines,total_orders,distinct_customers,distinct_products,total_sales,total_quantity,total_profit,average_line_discount,comparable_profit_margin_percentage,unknown_sales_lines,unknown_quantity_lines,unknown_profit_lines,loss_making_lines
Furniture,Bookcases,232,228,196,50,108560.148500,1163,-13979.264200,0.218491,-13.0970993396,18,9,12,104
Furniture,Chairs,634,591,408,88,311201.554000,4581,13372.481500,0.173580,3.1620188915,40,15,31,232
Furniture,Furnishings,1009,919,532,188,90304.197600,6291,5453.662600,0.143657,5.8582015206,44,27,61,166
Furniture,Tables,326,314,261,57,196314.840000,2271,-25749.686100,0.262423,-13.9634454238,25,5,25,186
"Office Supplies",Appliances,474,459,356,99,103135.701100,2369,16145.570800,0.165190,17.1093922803,31,4,26,63
"Office Supplies",Art,821,756,496,164,26760.126000,4455,5356.735800,0.078319,20.5726667321,34,17,42,9
"Office Supplies",Binders,1548,1339,651,213,191677.154000,10884,-5915.315400,0.371124,-5.1086199641,69,25,70,594
"Office Supplies",Envelopes,256,251,206,54,16118.274000,1622,6296.546000,0.085352,39.3581288948,5,1,9,2
"Office Supplies",Fasteners,229,226,192,43,8447.372000,1665,2351.813100,0.082533,28.0629220308,9,5,4,14
"Office Supplies",Labels,368,348,281,70,12538.648000,2022,4865.671000,0.077310,39.4328900519,10,5,19,7
"Office Supplies",Paper,1384,1205,613,284,77423.691500,11750,31960.799600,0.080455,41.0260050017,73,24,65,9
"Office Supplies",Storage,856,787,514,133,216336.530000,5423,10312.707400,0.076168,4.7561364025,29,19,20,163
"Office Supplies",Supplies,192,189,160,38,42735.356000,807,-1161.676700,0.085417,-2.7676573106,4,2,9,32
Technology,Accessories,775,718,474,147,162186.565100,6016,30782.371100,0.084774,18.9289154652,23,11,33,102
Technology,Copiers,70,70,64,13,103195.520000,239,49540.152800,0.162143,27.7235281195,5,1,3,1
Technology,Machines,117,114,99,64,172782.654000,964,-9284.265700,0.304274,-8.0618256610,12,8,13,40
Technology,Phones,903,826,511,189,317056.764000,5774,26539.713800,0.157807,8.4309403243,37,10,56,131
